,Cache Size,Cache Ways,Block Size,Cache Sets,Threads,Miss Rate
0,262144,4,128,512,1,35.55
1,262144,4,128,512,2,30.18
2,262144,4,128,512,3,33.62
3,262144,4,128,512,4,29.92
4,262144,4,128,512,5,36.77
5,524288,4,128,1024,1,35.55
6,524288,4,128,1024,2,30.18
7,524288,4,128,1024,3,33.62
8,524288,4,128,1024,4,29.92
9,524288,4,128,1024,5,36.77
10,1048576,4,128,2048,1,35.0
11,1048576,4,128,2048,2,30.18
12,1048576,4,128,2048,3,30.08
13,1048576,4,128,2048,4,29.13
14,1048576,4,128,2048,5,33.47
15,2097152,4,128,4096,1,35.0
16,2097152,4,128,4096,2,28.77
17,2097152,4,128,4096,3,29.2
18,2097152,4,128,4096,4,26.37
19,2097152,4,128,4096,5,30.57
20,4194304,4,128,8192,1,35.0
21,4194304,4,128,8192,2,28.77
22,4194304,4,128,8192,3,29.2
23,4194304,4,128,8192,4,26.37
24,4194304,4,128,8192,5,29.75
25,8388608,4,128,16384,1,35.0
26,8388608,4,128,16384,2,28.77
27,8388608,4,128,16384,3,29.2
28,8388608,4,128,16384,4,26.37
29,8388608,4,128,16384,5,29.75
