,Cache Size,Cache Ways,Block Size,Cache Sets,Threads,Miss Rate
0,262144,4,128,512,1,35.55
1,262144,4,128,512,2,41.98
2,262144,4,128,512,3,56.19
3,262144,4,128,512,4,51.18
4,262144,4,128,512,5,60.33
5,524288,4,128,1024,1,35.55
6,524288,4,128,1024,2,41.98
7,524288,4,128,1024,3,56.19
8,524288,4,128,1024,4,51.18
9,524288,4,128,1024,5,60.33
10,1048576,4,128,2048,1,35.0
11,1048576,4,128,2048,2,40.56
12,1048576,4,128,2048,3,52.21
13,1048576,4,128,2048,4,50.0
14,1048576,4,128,2048,5,55.37
15,2097152,4,128,4096,1,35.0
16,2097152,4,128,4096,2,40.56
17,2097152,4,128,4096,3,51.32
18,2097152,4,128,4096,4,48.42
19,2097152,4,128,4096,5,54.54
20,4194304,4,128,8192,1,35.0
21,4194304,4,128,8192,2,40.56
22,4194304,4,128,8192,3,51.32
23,4194304,4,128,8192,4,48.42
24,4194304,4,128,8192,5,53.71
25,8388608,4,128,16384,1,35.0
26,8388608,4,128,16384,2,40.56
27,8388608,4,128,16384,3,51.32
28,8388608,4,128,16384,4,48.42
29,8388608,4,128,16384,5,53.71
