,Cache Size,Cache Ways,Block Size,Cache Sets,Threads,Miss Rate
0,262144,4,128,512,1,25.76
1,262144,4,128,512,2,17.25
2,262144,4,128,512,3,12.85
3,262144,4,128,512,4,10.38
4,262144,4,128,512,5,8.658
5,524288,4,128,1024,1,18.17
6,524288,4,128,1024,2,12.4
7,524288,4,128,1024,3,9.432
8,524288,4,128,1024,4,7.488
9,524288,4,128,1024,5,6.185
10,1048576,4,128,2048,1,15.24
11,1048576,4,128,2048,2,10.45
12,1048576,4,128,2048,3,7.751
13,1048576,4,128,2048,4,6.16
14,1048576,4,128,2048,5,5.138
15,2097152,4,128,4096,1,14.36
16,2097152,4,128,4096,2,9.772
17,2097152,4,128,4096,3,7.26
18,2097152,4,128,4096,4,5.807
19,2097152,4,128,4096,5,4.844
20,4194304,4,128,8192,1,14.36
21,4194304,4,128,8192,2,9.772
22,4194304,4,128,8192,3,7.26
23,4194304,4,128,8192,4,5.805
24,4194304,4,128,8192,5,4.84
25,8388608,4,128,16384,1,14.36
26,8388608,4,128,16384,2,9.772
27,8388608,4,128,16384,3,7.26
28,8388608,4,128,16384,4,5.805
29,8388608,4,128,16384,5,4.84
