,Cache Size,Cache Ways,Block Size,Cache Sets,Threads,Miss Rate
0,262144,4,128,512,1,25.76
1,262144,4,128,512,2,31.98
2,262144,4,128,512,3,34.27
3,262144,4,128,512,4,35.06
4,262144,4,128,512,5,35.39
5,524288,4,128,1024,1,18.17
6,524288,4,128,1024,2,24.5
7,524288,4,128,1024,3,29.33
8,524288,4,128,1024,4,31.45
9,524288,4,128,1024,5,32.86
10,1048576,4,128,2048,1,15.24
11,1048576,4,128,2048,2,19.68
12,1048576,4,128,2048,3,23.55
13,1048576,4,128,2048,4,26.39
14,1048576,4,128,2048,5,28.66
15,2097152,4,128,4096,1,14.36
16,2097152,4,128,4096,2,18.26
17,2097152,4,128,4096,3,21.83
18,2097152,4,128,4096,4,24.94
19,2097152,4,128,4096,5,27.29
20,4194304,4,128,8192,1,14.36
21,4194304,4,128,8192,2,18.26
22,4194304,4,128,8192,3,21.83
23,4194304,4,128,8192,4,24.8
24,4194304,4,128,8192,5,27.33
25,8388608,4,128,16384,1,14.36
26,8388608,4,128,16384,2,18.26
27,8388608,4,128,16384,3,21.83
28,8388608,4,128,16384,4,24.8
29,8388608,4,128,16384,5,27.33
